variable,familia,rol,uso,significado,unidades,fundamento_predictivo,limitaciones,fuente,metodo,tipo,n_faltantes,faltantes_pct,n_distintos,rango_o_ejemplos
fase_c_footprint_zonasgeode,Capas adicionales: huella,auxiliar_no_predictor,Excluir de X,"Fracción estimada de área terrestre cubierta por polígonos de zonasgeode, rasterizados a 500 m.",fracción 0–1,Diagnóstico espacial de huella de una capa.,No codifica la edad/tipología específica de depósitos cuaternarios ni la identidad de zona GEODE; no es cobertura acreditada de investigación.,Fases C/D; código y configuración,,float64,0,0.0,9,0.0 … 1.0
eligible_geology_terrain,Elegibilidad técnica,auxiliar_no_predictor,Excluir de X,"coastal_eligible y valores no nulos de litologia_dominante, edades_dominante, elevacion_media_m y pendiente_grados.",booleano,Selecciona celdas con soporte para un conjunto concreto.,"No significa favorable para Au ni valida entrenamiento. No garantiza disponibilidad de TPI, desviaciones ni distancias estructurales.",Fases C/D; código y configuración,,bool,0,0.0,2,False … True
eligible_geo4,Elegibilidad técnica,auxiliar_no_predictor,Excluir de X,"coastal_eligible y valores no nulos de litologia_dominante, edades_dominante, elevacion_media_m y pendiente_grados. Además, clases modales no nulas de Au, As, Sb y Bi.",booleano,Selecciona celdas con soporte para un conjunto concreto.,"No significa favorable para Au ni valida entrenamiento. No garantiza disponibilidad de TPI, desviaciones ni distancias estructurales.",Fases C/D; código y configuración,,bool,0,0.0,2,False … True
eligible_geo9,Elegibilidad técnica,auxiliar_no_predictor,Excluir de X,"coastal_eligible y valores no nulos de litologia_dominante, edades_dominante, elevacion_media_m y pendiente_grados. Además, clases modales no nulas de Au, As, Sb, Bi, Hg, Cu, Pb, Zn y W.",booleano,Selecciona celdas con soporte para un conjunto concreto.,"No significa favorable para Au ni valida entrenamiento. No garantiza disponibilidad de TPI, desviaciones ni distancias estructurales.",Fases C/D; código y configuración,,bool,0,0.0,2,False … True
prediction_allowed,Estado de validación,auxiliar_no_predictor,Excluir de X,"Bandera final de permiso científico de predicción de D, fijada en falso.",booleano,Expresa el estado del proceso de revisión.,No es probabilidad ni resultado del modelo. En la ejecución examinada todas las celdas tienen falso.,Fases C/D; código y configuración,,bool,0,0.0,1,False … False
litologia_dominante,Litología,predictor_candidato,Candidata; no aprobada,Código de la unidad con mayor área terrestre; empate resuelto por orden textual de categoría.,categoría nominal,Resume el encajante y dominio geológico.,Los códigos uNNN no son rangos de favorabilidad ni edades numéricas. Pierde mezclas minoritarias; la edad de la roca no fecha la mineralización.,litologia,mayor área terrestre; empate por texto ordenado,str,15392,3.097885701059665,19,"litologia_u000: 126,737; litologia_u012: 66,036; litologia_u008: 48,309; litologia_u009: 41,783"
litologia_u000_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Areniscas, conglomerados, arcillas; calizas y evaporitas».",fracción 0–1,Describe una mezcla sedimentaria: permeabilidad y reactividad pueden condicionar circulación y precipitación; su amplitud impide asignarle favorabilidad fija.,"Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,83398,0.0 … 1.0
litologia_u001_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Areniscas, pizarras y calizas».",fracción 0–1,Combina encajantes siliciclásticos y carbonatados; sus contrastes mecánicos y químicos pueden localizar mineralización si hay fluidos y estructuras apropiadas.,"Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,14614,0.0 … 1.0
litologia_u002_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Calizas detríticas, calcarenitas, margas, arcillas y calizas».",fracción 0–1,"Contexto sedimentario carbonatado y detrítico. Puede distinguir cuencas, cobertura y encajantes reactivos; señal principalmente contextual.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,10245,0.0 … 1.0
litologia_u003_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Calizas, dolomías y margas. Areniscas y conglomerados».",fracción 0–1,"Carbonatos potencialmente reactivos junto con materiales detríticos; hipótesis de control del encajante, sin evidencia de alteración en esta variable.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,27945,0.0 … 1.0
litologia_u004_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Conglomerados, areniscas y lutitas».",fracción 0–1,"Contexto detrítico con conglomerados. Puede señalar ambientes de transporte o encajantes, pero no identifica paleoplaceres auríferos por sí solo.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,697,0.0 … 1.0
litologia_u005_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Conglomerados, areniscas, arcillas y calizas. Evaporitas».",fracción 0–1,Mezcla sedimentaria y evaporítica; diferencia dominios y cobertura. No hay una relación positiva universal con Au.,"Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,20316,0.0 … 1.0
litologia_u006_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Conglomerados, areniscas, calizas, yesos y arcillas versicolores».",fracción 0–1,"Unidad sedimentaria heterogénea con yesos; aporta contexto de cuenca y posibles contrastes de permeabilidad, no una señal aurífera directa.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,17501,0.0 … 1.0
litologia_u007_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Conglomerados, areniscas, pizarras y calizas. Carbón».",fracción 0–1,"Encajantes detríticos y pizarrosos, carbonatos y carbón. Sugiere contrastes mecánicos y químicos, sin medir materia reductora ni sulfuros efectivamente presentes.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,7947,0.0 … 1.0
litologia_u008_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Cuarcitas, pizarras, areniscas y calizas».",fracción 0–1,"Contrastes entre cuarcitas, pizarras y carbonatos pueden condicionar fracturación, circulación y reacción con fluidos; requiere estructuras favorables.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,29400,0.0 … 1.0
litologia_u009_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Dolomías, calizas y margas. Areniscas».",fracción 0–1,Carbonatos y materiales detríticos: contexto de encajante reactivo y permeabilidad; no basta para inferir un sistema mineralizado.,"Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,35918,0.0 … 1.0
litologia_u010_fraccion,Litología,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «Gneisses».,fracción 0–1,"Representa basamento metamórfico; puede contextualizar zonas de cizalla y vetas, pero gneiss no equivale a roca aurífera.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,3650,0.0 … 1.0
litologia_u011_fraccion,Litología,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «Granitoides de dos micas».,fracción 0–1,"Contexto granítico para evaluar sistemas relacionados con intrusiones; necesita edad, fertilidad y geoquímica compatibles.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,10510,0.0 … 1.0
litologia_u012_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Gravas, conglomerados, arenas y limos».",fracción 0–1,Hipótesis de transporte y acumulación detrítica de Au; la unidad incluye depósitos no auríferos y no distingue terrazas de otros sedimentos.,"Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,68905,0.0 … 1.0
litologia_u013_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Micaesquistos, filitas, areniscas, mármoles, calizas, dolomías y margas».",fracción 0–1,Encajantes metamórficos y carbonatados con contrastes mecánicos y químicos; posible contexto de vetas y reacción roca-fluido.,"Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,5730,0.0 … 1.0
litologia_u014_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Migmatitas, mármoles y granitoides indiferenciados».",fracción 0–1,"Unidad mixta de basamento y granitoides; puede aportar contexto térmico e intrusivo, pero no cuantifica cuánto granito contiene.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,1840,0.0 … 1.0
litologia_u015_fraccion,Litología,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «Otros granitoides».,fracción 0–1,"Contexto intrusivo genérico; útil para contrastar hipótesis relacionadas con magmatismo, sin asumir que cualquier granitoide es fértil.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,12907,0.0 … 1.0
litologia_u016_fraccion,Litología,predictor_candidato,Candidata; no aprobada,"Fracción de área terrestre ocupada por la unidad «Pizarras, grauwackas, cuarictas y conglomerados».",fracción 0–1,"Encajantes siliciclásticos/metasedimentarios: posible contexto de vetas y cizallas; necesita estructura, cronología y señal geoquímica.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,12150,0.0 … 1.0
litologia_u018_fraccion,Litología,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «Serpentinitas y peridotitas. Rocas básicas y ultrabásicas».,fracción 0–1,Contexto máfico y ultramáfico; permite probar controles del encajante y contrastes litológicos sin asumir asociación universal con Au.,"Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,3938,0.0 … 1.0
litologia_u019_fraccion,Litología,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «Vulcanitas y rocas volcanoclásticas».,fracción 0–1,Contexto volcánico/volcanoclástico donde se pueden probar hipótesis hidrotermales; no informa sobre alteración ni fertilidad.,"Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",litologia,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,5324,0.0 … 1.0
edades_dominante,Edades,predictor_candidato,Candidata; no aprobada,Código de la unidad con mayor área terrestre; empate resuelto por orden textual de categoría.,categoría nominal,Resume el dominio cronoestratigráfico cartografiado; permite contrastar asociaciones con historia geológica.,Los códigos uNNN no son rangos de favorabilidad ni edades numéricas. Pierde mezclas minoritarias; la edad de la roca no fecha la mineralización.,edades,mayor área terrestre; empate por texto ordenado,str,15392,3.097885701059665,28,"edades_u011: 108,220; edades_u004: 66,065; edades_u002: 39,219; edades_u008: 36,720"
edades_u000_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «CARBONÍFERO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,13017,0.0 … 1.0
edades_u001_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «CARBONÍFERO-PÉRMICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,697,0.0 … 1.0
edades_u002_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «CRETÁCICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,32114,0.0 … 1.0
edades_u003_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «CRETÁCICO-PALEÓGENO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,6937,0.0 … 1.0
edades_u004_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «CUATERNARIO».,fracción 0–1,"Contexto cuaternario útil para plantear transporte, depósito y cobertura superficial; no identifica por sí solo un placer aurífero.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,68905,0.0 … 1.0
edades_u005_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «CÁMBRICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,5302,0.0 … 1.0
edades_u006_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «CÁMBRICO-ORDOVÍCICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,11985,0.0 … 1.0
edades_u007_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «DEVÓNICO-CARBONÍFERO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,7747,0.0 … 1.0
edades_u008_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «DEVÓNICO-CARBONÍFERO-PÉRMICO (Plut. Hercínico)».,fracción 0–1,"La leyenda vincula la unidad al plutonismo hercínico; permite probar contexto intrusivo, sin fechar el oro ni acreditar fertilidad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,16973,0.0 … 1.0
edades_u009_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «JURÁSICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,14427,0.0 … 1.0
edades_u010_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «JURÁSICO-CRETÁCICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,21963,0.0 … 1.0
edades_u011_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «NEÓGENO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,75422,0.0 … 1.0
edades_u012_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «NEÓGENO-CUATERNARIO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,15834,0.0 … 1.0
edades_u013_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «ORDOVÍCICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,17306,0.0 … 1.0
edades_u014_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «ORDOVÍCICO-SILÚRICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,383,0.0 … 1.0
edades_u015_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «PALEÓGENO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,9616,0.0 … 1.0
edades_u016_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «PALEÓGENO-NEÓGENO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,17242,0.0 … 1.0
edades_u017_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «PROTEROZOICO SUPERIOR-VENDIENSE».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,9206,0.0 … 1.0
edades_u018_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «PÉRMICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,18,0.0 … 0.9996915459632874
edades_u019_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «PÉRMICO-TRIÁSICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,1256,0.0 … 1.0
edades_u020_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «RIFEENSE».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,2154,0.0 … 1.0
edades_u021_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «RIFEENSE-VENDIENSE-CÁMBRICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,1638,0.0 … 1.0
edades_u022_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «SILÚRICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,3998,0.0 … 1.0
edades_u023_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «SILÚRICO-DEVÓNICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,7539,0.0 … 1.0
edades_u025_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «TRIÁSICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,20800,0.0 … 1.0
edades_u026_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «TRIÁSICO-JURÁSICO».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,1286,0.0 … 1.0
edades_u027_fraccion,Edades,predictor_candidato,Candidata; no aprobada,Fracción de área terrestre ocupada por la unidad «VENDIENSE».,fracción 0–1,"Distingue dominios y episodios de la historia geológica; su asociación con Au es una hipótesis contextual, no una relación monotónica con antigüedad.","Intersección exacta con polígonos. Unidad cartográfica completa, no proporción de cada roca interna; NaN si falla cobertura/conflicto. Los intervalos de edad mixtos no se desagregan.",edades,"intersección exacta; fracción de unidad mixta, no de mineral",float32,15392,3.097885701059665,2209,0.0 … 1.0
